QUESTION,BT LEVEL,BT LEVEL (REVISED)
"Given the data we've looked at on this topic, evaluate how appropriate this conclusion is and defend your answer.",Evaluation,Evaluate
Tell how Phillip kept himself alive after Timothy died.,Comprehension,Understand
Write a letter to the editor on a social issue of concern to you.,Synthesis,Create
Summarize a story in own words.,Comprehension,Understand
How to inspect and maintain fresh water plumbing systems properly,Analysis,Analyze
Summarize a historical document,Comprehension,Understand
"Explain what the author means by the statement ""our intellectual powers are geared to master static relations.",Comprehension,Understand
Contrast Olympic athletes of today with athletes of past Olympic games.,Analysis,Analyze
"how do the clauses and expressions given in the article which replace GOTO statements, lead to the three traditional control statements",Synthesis,Create
What do you think about . . .?,Evaluation,Evaluate
Compose an original work which incorporates five common materials in sculpture.,Synthesis,Create
Use tableau methods to prove that the following tableau is valid.,Application,Apply
which part of a data packet is used by a router to determine the destination network,Knowledge,Remember
Restate main idea of story in own words.,Comprehension,Understand
Compare this book to the last book you read.,Analysis,Analyze
"Following the identification of the forms of corrosion that were involved in a failure, recommend a solution to avoid this failure?",Synthesis,Create
Calculate the deflection of a beam under uniform loading.,Application,Apply
Demonstrate how the seasons occur.,Application,Apply
Explain the causes of historical events,Comprehension,Understand
Restate the Olympic motto in your own words.,Comprehension,Understand
Classify frogs toads and other amphibians.,Comprehension,Understand
Construct a model to demonstrate how it will work.,Application,Apply
Summarize this magazine article.,Comprehension,Understand
Name the food groups and at least two items of food in each group.,Knowledge,Remember
Why not compose a song about . . .?,Synthesis,Create
can you devise an explicit formula for,Synthesis,Create
 What happens if you restrict a determinental process to a subset R  S? ,Application,Apply
List the procedure to draw a mixed potential or Evans' diagram,Knowledge,Remember
Compare historical events to contemporary situations,Comprehension,Understand
Name the four major food groups.,Knowledge,Remember
 Sketch a prediction of the field lines for the arrangement of electrodes shown in Figure 2,Application,Apply
Develop one plausible ending for all three short stories below.,Synthesis,Create
Relate your most powerful story where your use of technology in the classroom has yielded a significant outcome with a student or students,Application,Apply
Paraphrase what Hamlet is saying in his soliloquy.,Comprehension,Understand
Calculate the rate of habitat fragmentation within the Colorado Front Range in the last decade.,Application,Apply
who was the first to compose in the arts of makamat,Knowledge,Remember
"After examining the videotape of a play in a football game, determine the degree to which the defensive team performed effectively and",Evaluation,Evaluate
What can I do to investigate this problem further,Analysis,Analyze
  Describe and compare the role of Islamic law in the legal systems of Malaysia and Pakistan,Comprehension,Understand
How would you investigate this abnormality,Analysis,Analyze
Can you explain what must have happened when . . .?,Analysis,Analyze
Examine the data in the EMPLOYEES and DEPARTMENTS tables,Analysis,Analyze
How many kilometers from your home to the university,Knowledge,Remember
in which countries is arabic language spoken,Knowledge,Remember
Construct a dictionary and a truth table to determine if the following statements are logically equivalent,Application,Apply
How many ways can you . . .?,Synthesis,Create
How would you differentiate obstructive apneas from central apneas,Analysis,Analyze
Suggest  any  TWO  (2)  efforts  that  organization  may  perform  in  order  to discourage unethical behavior.,Synthesis,Create
Discuss how Resource Based View can be implemented in organizations to reinforce financial standing.,Application,Apply
Define factors of production.,Knowledge,Remember
Briefly describe FIVE (5) general types of factors of production.,Comprehension,Understand
"In your opinion,  provide  any  TWO  (2)  reasons  why  the  actions  of  one  firm  can significantly affect the sales of the other firms in an oligopoly market. ",Comprehension,Understand
Define electronic commerce.,Knowledge,Remember
Explain THREE (3) broad categories of e-commerce with examples.,Comprehension,Understand
Discuss any THREE (3) ways by which an organization can benefit from e-commerce.,Comprehension,Understand
Advise Smith on any FIVE (5) types of information which should be included in the website.,Synthesis,Create
Suggest any THREE (3) specific ways with elaborations on how this new business may utilize the Internet technology to achieve cost efficiency.,Synthesis,Create
Differentiate between data and information using examples.,Analysis,Analyze
State any FOUR (4) characteristics of valuable information.,Knowledge,Remember
Explain the differences between volatile and non-volatile storage.,Comprehension,Understand
Suggest THREE (3) specific types of application software  that  may help to  support James's business activities. ,Synthesis,Create
List and describe THREE (3) accounting cycles in an Accounting Information System.,Knowledge,Remember
Explain how SWOT and Porter's techniques is applied in the manufacturing industries.,Application,Apply
State FOUR (4) basic business activities that are performed in the revenue cycle.,Knowledge,Remember
List any THREE (3) practical approaches for payment collection  in revenue cycle.,Knowledge,Remember
Compare and contrast Manufacturing Resource Planning  (MRP-II) and Lean Manufacturing.,Analysis,Analyze
"As a manager in an Information Technology firm, suggest and elaborate any THREE (3) actions that organizations can take as part of the responsibility towards the society.",Synthesis,Create
Illustrate each of these situations with TWO (2) real-life examples.  ,Comprehension,Understand
Explain the differences between ethical dilemma and ethical lapse.,Comprehension,Understand
Suggest and justify ONE (1) strategy that your company may consider for marketing its products internationally. ,Evaluation,Evaluate
Differentiate between Market Economy and Planned Economy.,Analysis,Analyze
Provide  each  of  Market  Economy  and  Planned  Economy  with  an example.,Comprehension,Understand
Differentiate between a wholesaler and a retailer.,Analysis,Analyze
"In your opinion, identify the relationship between factors of and a country's economic system.",Comprehension,Understand
Briefly  describe  THREE  (3) types  of business  process  that  traditionally organized around functional areas of business. Provide an example of each.,Knowledge,Remember
Propose  and justify ONE  (1)  international market-entry strategy  that   you   may   consider   to market your   products internationally.,Evaluation,Evaluate
Construct a basic diagram or figure to demonstrate your understandings on what Information System is.,Comprehension,Understand
State a main difference between a customer and a contact.,Comprehension,Understand
Identify ONE (1) most likely error of the following quotation.,Knowledge,Remember
Determine  which  sub-stage that the  deal  is currently  in for the  following cases.,Application,Apply
"Three sales sub-stages: qualification, proposition and negotiation are included in both OpenERP and SugarCRM, before a deal is won. Give a brief description of these sub-stages.",Comprehension,Understand
State your recommended solution with justification.,Evaluation,Evaluate
Explain TWO (2) ways on how monopoly harms consumers and hurts the economy. Justify and illustrate your answers.,Evaluation,Evaluate
Suggest and elaborate any TWO (2) efforts or methods that your company may use in order to gain competitive advantage over your competitors.,Synthesis,Create
Justify your answers with elaborations by providing any TWO (2) reasons.,Evaluation,Evaluate
Differentiate between data and information using a real life example.,Analysis,Analyze
Briefly  discuss  on the  difference  between  volatile  and  non-volatile storage.,Comprehension,Understand
Briefly discuss any THREE (3) specific internet technologies or tools that are commonly found in providing support for business activities.,Comprehension,Understand
Provide a real life example on conflict of interest situation.,Comprehension,Understand
Illustrate  your understanding for oligopoly competition and monopolistic competition using ONE (1) real life example for each.,Comprehension,Understand
Briefly discuss any TWO (2) consequences for whistle-blowing activity.,Comprehension,Understand
List any TWO (2) real life examples of  the  organization  that implement the clicks-and-bricks B2C E-Commerce.,Knowledge,Remember
Provide THREE (3) examples of input devices.,Knowledge,Remember
Identify and discuss THREE (3) issues on employee productivity problems that companies face.,Comprehension,Understand
Briefly provide any TWO (2) real life situations to illustrate on ethical dilemma.,Comprehension,Understand
Propose  an  e-commerce  classification  model  that  suits the  needs  of  John's business. Justify your answer.,Evaluation,Evaluate
Explain the concept of clicks-and-bricks model in e-commerce.,Comprehension,Understand
Explain each inventory control method and suggest TWO (2) types of products for each method.,Synthesis,Create
Explain Greimas square tool and discuss how it can be applied the aviation industry.,Application,Apply
List   THREE  (3) advantages  and  TWO  (2)  disadvantages codification.,Knowledge,Remember
Provide TWO  (2) possible reasons why AirAsia  decide to offer this new online service.,Comprehension,Understand
Identify  THREE  (3) possible  threats  you  should  anticipate  for this Internet-based business.,Comprehension,Understand
Suggest THREE (3) methods Game2 can take to prevent damage to its Web sites and continuing operations.  Justify your answer.,Evaluation,Evaluate
Explain  the  concept  of  Customer  Relationship  Management  (CRM).,Comprehension,Understand
Apply Porter's five competitive forces analysis to examine the summer job industry for your uncle.,Application,Apply
Discover FOUR (4) characteristic of IT infrastructure to be considered.,Synthesis,Create
Concisely define what SWOT analysis is and state why it is frequently producing conflicting views.,Comprehension,Understand
Formulate the profit for the company. ,Synthesis,Create
Discuss the extent to which Value Chain Analysis can be applied in the logistics sector.,Application,Apply
Information systems value is determined by the strong relationships among THREE (3) major components. Name them.,Knowledge,Remember
Cloud computing evolved from earlier technologies. State them.,Knowledge,Remember
Briefly  explain  any  TWO  (2) observations  of information  technology trend using Moore's Law.,Comprehension,Understand
Relate cycle-time reduction to improved performance. Justify your answer.,Evaluation,Evaluate
Define privacy.,Knowledge,Remember
"In your own words, describe Supply Chain Management (SCM).",Comprehension,Understand
"In  your  opinion,  discuss  how  modern   supply  chain  management systems facilitate a pull-based  model.",Comprehension,Understand
Define the term Radio Frequency Identification (RFID).,Knowledge,Remember
Explain how RFID provides value to businesses.,Comprehension,Understand
"Use Porter's five competitive forces to analyze FiredUp, Inc.",Application,Apply
Explain how GST approach can be deployed in the context of Accounting Information System.,Application,Apply
"Base on the case study given, summarize THREE (3) ISM security problems.",Comprehension,Understand
Classify information systems based on the support IS can provide.,Comprehension,Understand
Explain how Referral Networks approach can be used as a tool to increase number of customers.,Application,Apply
Draw the diagrams for a centralized database and a distributed database.,Comprehension,Understand
Explain how the future of social media can be explained by Web 3.0.  ,Comprehension,Understand
Define knowledge and provide an example of knowledge produced by a vehicle management system.,Knowledge,Remember
Identify PayPal's business model.,Knowledge,Remember
Scaling methods can improve the performance of the web site. Propose to Jane which scaling method suit her current business needs. Justify your answer.,Evaluation,Evaluate
Define CRM and discuss how the CRM can be implemented in the business environment.,Application,Apply
Examine how e-commerce facilitates Value Chain and Supply Chain.,Analysis,Analyze
Explain how auction is related to dynamic pricing.,Comprehension,Understand
Compare and contrast Address Verification  System (AVS) and Card verification number (CVN).,Analysis,Analyze
Provide THREE (3) justification on how would the university community be encouraged to place orders and become loyal customers.,Evaluation,Evaluate
Personalization is becoming an important element in Electronic Commerce. Explain TWO (2) techniques that can be used to learn about consumer behavior and how it can be used to facilitate customer service.,Comprehension,Understand
Provide TWO (2) suggestions on how a Web presence help Columbiana's government.,Synthesis,Create
Briefly  discuss  how  TQM  could  be  applied  m  the  management  of  the newspapers' editorials.,Application,Apply
"Based on your observation of the local newspaper industry, discuss and state your stance on whether gender affects professional news selection.",Evaluation,Evaluate
Discuss how far you agree with this statement with emphasis on circulation management of a newspaper company.,Evaluation,Evaluate
Argue critically with relevant examples.,Evaluation,Evaluate
Critically discuss the quote above and explain FIVE(5) ways the interest groups can be more effective with relevant examples.,Analysis,Analyze
Critically analyze and discuss the problems with secondary data. Provide relevant examples to support your answer.,Analysis,Analyze
Describe the term 'urbanization' and discuss how urbanization influences the development of marketing and advertising strategies.,Comprehension,Understand
Critically discuss how demographic characteristics would affect a product development in a foreign market.,Analysis,Analyze
Analyze and discuss the challenges and opportunities that social media creates.,Analysis,Analyze
Critically analyze the image above and discuss the strategic decisions associated with the appeals of the advertisement.,Analysis,Analyze
Show how NLP techniques can be deployed in business.,Application,Apply
Suggest THREE (3) ethical considerations that ANA advertisers should take into account in designing commercials.,Synthesis,Create
Create a poster that promote jeans to local senior citizen which appeal directly to a multiracial citizen in Malaysia.,Synthesis,Create
Select a local 'HOMEGROWN' brand and discuss its international marketing mix.,Comprehension,Understand
Critically discuss FOUR (4) main dimensions that used to  classify countries based on Hofstede's Cultural Dimensions Theory.,Analysis,Analyze
Compare and contrast between low context cultures and high context cultures. ,Analysis,Analyze
Critically discuss the THREE (3) options in handling the international media planning or buying.,Analysis,Analyze
Design an ideal newspaper organisational chart. Then describe the functions of the respective departments and how they relate to each other � horizontally and vertically.,Synthesis,Create
Demonstrate email and social media approaches to create effective marketing plan.,Application,Apply
Examine the two roles and show how newspaper managers can successfully draw a balance between their economic role and social role.   ,Analysis,Analyze
Suggest a house-style and editorial policies for your newly introduced newspaper targeted at young readers aged between 15 to 25 years.,Synthesis,Create
Examine how conventional newspaper can continue to maintain its circulation with the easy access to alternative information on the web.,Analysis,Analyze
"As an editor-in-chief, suggest how you can motivate your experienced journalists to remain with your paper.",Synthesis,Create
Discuss the factors that you think may have affected the quality of newspapers in Malaysia and identify the key elements for a successful newspaper .,Analysis,Analyze
List any five departments and discuss the relations between these departments and the importance of depending on each other.,Analysis,Analyze
PEST and SWOT are popular strategy tools. Discuss how the TWO(2) tools can be applied in manufacturing business environment.,Application,Apply
"Evaluate the performance of Malaysian newspapers and comment on what you think they should do to win back readers, particularly those who show preference for online news.",Evaluation,Evaluate
Prepare a research  proposal on a study that you have to conduct on the purchasing behaviour of teenagers in the Klang Valley.,Synthesis,Create
Evaluate the need for ethics in research.,Evaluation,Evaluate
Explain the case study research method and distinguish between single and multiple case study design.,Analysis,Analyze
Argue the case for conducting experimental research involving humans and propose guidelines to ensure that the dignity and welfare of the subjects are maintained.,Evaluation,Evaluate
Differentiate between qualitative research and quantitative research in terms of their goal and design.,Analysis,Analyze
Develop a questionnaire based on at least FOUR open-ended and FOUR closed-ended questions for the interviews.,Synthesis,Create
Analyze the purpose of having a Purchasing Department in an organization.,Analysis,Analyze
Distinguish Paradox of the Commons from Tragedy of the Commons.,Analysis,Analyze
Evaluate the three specific effects caused by the applications of information technology on the nature of competition.,Evaluation,Evaluate
"Advise the five steps, as recommended by Porter and Millar, that can be applied by business managers in taking advantage of information technology.",Synthesis,Create
Winer (2001) proposes a 7-component Customer Relationship Management (CRM) Model as a framework to implement a successful CRM program. Evaluate each of the seven components of the CRM Model.,Evaluation,Evaluate
"Davenport (2000) discusses four emerging trends to be considered in designing future enterprise systems. Analyze each emerging trend, its relevance and importance to the designing of future enterprise systems.",Analysis,Analyze
Apply SWOT analysis in education environment and discuss its impact in the revenue analysis.,Application,Apply
Alavi and Leidner (2001) examine how information technology (IT) can be a key enabler in supporting four organizational knowledge management (KM) processes. Critically assess the role of IT in supporting the four KM processes.,Evaluation,Evaluate
PERCEPTION STUDIES based on SURVEY METHOD are useful and common in both academic and market research. Critically evaluate the strategies used  in data collection that can increase the response rate when conducting a survey.,Evaluation,Evaluate
Critically review how a shift in the mental model with a different set of assumptions could change Yahoo.,Evaluation,Evaluate
"With reference  to the case, evaluate the similarities  and differences  between  open mindedness and mental models.",Evaluation,Evaluate
Leaders  often  face  a  dilemma  because  of  a  perceived  conflict  between  the realm of business and the realm of ethics. Compare the characteristics  of leaders who follow a strict rational  self-interest  approach  with  those  who take an ethical approach.,Analysis,Analyze
Evaluate the appropriateness of drugs advertising by the pharmaceutical firms.,Evaluation,Evaluate
Distinguish clearly between power and authority.,Analysis,Analyze
Evaluate the types of power Benjamin Fang is exercising in Sun Plantations and explain how this is being eroded by the changes taking place in the environment.,Evaluation,Evaluate
Discuss the extent to which the existence of a conflict between a company's objectives is acceptable.,Evaluation,Evaluate
Discuss and show the impact of CRM strategies in the telecommunication sector.,Application,Apply
"Discuss the extent to which it is feasible for a company to 'operationalise' its social responsibility Spirations, that is, whether it is possible to bring these considerations into strategic decision-making in a programmed or systematic way.",Evaluation,Evaluate
"Identify and recommend any appropriate amendments to the proposal presented in order to rectify the errors made in estimating the company's current cost of capital and current value. For each of the revisions, explain the reasons why it should be amended.",Evaluation,Evaluate
"Recommend with justification, a value or range of values to the Board of Directors for the acquisition of ESL Berhad.",Evaluation,Evaluate
"Compare how the internal rate of return (IRR) method, Net Present Value (NPV) and modified internal rate of return (MIRR) method is different.",Analysis,Analyze
Analyze the product-market options that are available to Associated Meats Sdn Bhd.,Analysis,Analyze
Use philanthropy approach to manage corporate social responsibility effectively.,Application,Apply
"Critically review the strengths, weaknesses,  opportunities and threats of Associated Meats Sdn Bhd in light of the forecast trends and developments.",Evaluation,Evaluate
"Critically appraise the five competitive forces encased within Porter's ""Five Forces"" model within the context of a profit-oriented organisation and discuss the threat posed to the firm by each of these forces.",Evaluation,Evaluate
"Evaluate the nature and effect of significant ""entry barriers"" on the formulation of a strategic plan for a business which is already established in the industry.",Evaluation,Evaluate
Synthesize any FIVE (5) factors that  should be considered  when  devising a safe system to undertake a task in an organization.,Synthesis,Create
Synthesize the need for ventilation as an engineering control.,Synthesis,Create
Assess the reason for hazard communication and the mode of communication practice for chemical safety at worksite.,Evaluation,Evaluate
List FIVE (5) functions of Department of Safety and Health as outline in OSHA 1994.,Knowledge,Remember
Define the term project in the context of project management.,Knowledge,Remember
Define standard operating procedures as highlighted.,Knowledge,Remember
Show in a step by step manner how TQM can be implemented successfully in education sector.,Application,Apply
Compare FOUR (4) point of views of entrepreneurs with FOUR (4) for managers the way they look at the things.,Analysis,Analyze
Being a technopreneur means dealing with innovation. Define what innovation is and also propose FOUR (4) types of innovations you can have in your organization.,Synthesis,Create
Presenting the business plan is very crucial to convince potential consumers and financers. List any SEVEN (7) suggestions for good presentation of your business plan.,Knowledge,Remember
List the advantages and disadvantages of Public Offering.,Knowledge,Remember
Show your calculations for all THREE (3) options and then discuss which one of the options you prefer.,Analysis,Analyze
Currently the product life cycle for Apple iPod is in the 'growth stage'. Provide evidence to support your answer.,Evaluation,Evaluate
Define brand audit.,Knowledge,Remember
Explain how Porter's concept can be used in education domain.,Application,Apply
"Use your imagination to create a picture about the story. Then, add one new thing that was not in the story.",Synthesis,Create
"Analyze a work of art in terms of form, color and texture.",Analysis,Analyze
Design a scientific study to test the effect of different kinds of music on hens’ egg production.,Synthesis,Create
Rewrite the story from an animal’s point of view.,Synthesis,Create
Develop a proof ... and justify each step ... ,Evaluation,Evaluate
"Explain briefly the meaning of the following terms: Demography, Consumer sales promotion , and Media mix",Knowledge,Remember
Propose an alternative way to solve …  ,Synthesis,Create
"Design a record, book or magazine cover for...",Synthesis,Create
How would you express ________________?,Comprehension,Understand
How would you rank the items given the criteria ?,Evaluation,Evaluate
Analyze the selected information.,Analysis,Analyze
Design a building to house your study.,Synthesis,Create
Class Facility is an abstract class. Explain what this means,Comprehension,Understand
"Write a TV show play, puppet show, role play, song or pantomime about..",Synthesis,Create
"Discriminate the different parts of the story (introduction, development, climax, resolution.)",Analysis,Analyze
What evidence can you list for...,Analysis,Analyze
What hypotheses can you develop based on the data ? Why ?,Synthesis,Create
What has the author used to create this effect,Analysis,Analyze
How does the law of supply and demand explain the current increase in the price of fruit?,Application,Apply
Sketch an experiment to see how plants grow in different kinds of soil.,Application,Apply
Draw an illustration of the linked list after the execution of each of the statement below. (Use the original illustration for each question).,Application,Apply
State in your own words ...,Comprehension,Understand
State in one word ...,Comprehension,Understand
Name the authors of...?,Knowledge,Remember
Write a program that uses nested loops to print the following output:,Synthesis,Create
Prepare a list of criteria to judge ... Evaluate expressions,Evaluation,Evaluate
Draw a diagram explaining how air pressure affects the weather.,Comprehension,Understand
Suggest a way to deal with this scenario,Application,Apply
Draw a flowchart to accept a number and output its factorial.example 1: input 5 -> 5! = 5x4x3x2x1 -> output 120 ,Comprehension,Understand
Create several scientific hypotheses to …,Synthesis,Create
Recall the main components of the flowchart,Knowledge,Remember
What criteria would you use to assess...? ,Evaluation,Evaluate
Design or sketch a marketing strategy for your product using a known strategy as a model.,Application,Apply
Explain what is happening in the first picture of the story.,Comprehension,Understand
How would you justify . . . ?,Evaluation,Evaluate
Can you propose an alternative plan to . . . ?,Synthesis,Create
Create an advertising campaign,Synthesis,Create
"Based on the above dataType class, list all the function members",Knowledge,Remember
"Your advice has been sought to settle the following dispute in Company X. Referring to appropriate legal principles, write a short report advising the company on the best course of action to adopt.",Evaluation,Evaluate
Interpret the graph and state how many trees were cut down to produce paper.,Application,Apply
Develop a menu for a new healthy foods restaurant,Synthesis,Create
"""Don’t use public instance variables"" is defensive programming techniques. discuss why it is good advice?",Evaluation,Evaluate
Categorize the story into parts and think of a good title for each of the parts.,Analysis,Analyze
List the __________________ in descending order,Knowledge,Remember
Can you explain what is happening . . . what is meant . . .? ,Comprehension,Understand
Write an explanation about this topic for others,Application,Apply
Name five cities in US.,Knowledge,Remember
Can you think of an original way for collect and develop the . . . ?,Synthesis,Create
Judge how well a project meets the criteria of a rubric.,Evaluation,Evaluate
How would you classify the type of ...?,Comprehension,Understand
List important information you can remember from lesson….,Knowledge,Remember
Can you discriminate the difference parts . . . ? ,Analysis,Analyze
Compare and contrast the two items and produce a summary of their similarities and differences,Analysis,Analyze
What would you cite to defend the actions . . . ? ,Evaluation,Evaluate
List the data members,Knowledge,Remember
Design a new monetary system or an experiment for establishing.,Synthesis,Create
What do you recall ...?,Knowledge,Remember
"In your own words, tell what the story is about.",Comprehension,Understand
Justify the object oriented programming concept,Evaluation,Evaluate
Write a poem about the story.,Synthesis,Create
"Write a program to calculate the SQRT for Array elements, you may use the Math class function (sqrt), the Array should include 5 Integer elements. The output should be the array elements along with their SQRT value.",Synthesis,Create
Judge the value of... What do you think about...?,Evaluation,Evaluate
What criteria would you use to evaluate if your answer is correct?,Evaluation,Evaluate
Define Inheritance concept,Knowledge,Remember
Recall four facts from the story,Knowledge,Remember
Propose a set of alternatives for reducing dependence on fossil fuels that address both economic and environmental concerns.,Synthesis,Create
Construct an alternative way to ...,Synthesis,Create
Write a C++ statement to declare a variable of type musicType name MyTune.,Application,Apply
Devise a different way of using X,Synthesis,Create
Describe how interest rates affect the economy,Comprehension,Understand
Write a JAVA program to show the Overloading concept,Synthesis,Create
How can you categorize ____ according to...?,Analysis,Analyze
Can you justify the decisions you have made ? ,Evaluation,Evaluate
Explain why the story has the title that it does.,Comprehension,Understand
Memorize and recall the periodic table,Knowledge,Remember
Write about your feelings in relation to...,Synthesis,Create
Choose the best statements that apply ...,Application,Apply
Identify the key points in the text ,Comprehension,Understand
Explain what is meant.,Comprehension,Understand
Write a journal from the point of view of mountaineer.,Synthesis,Create
What evidence can you find to suggest that people should be regarded as the most important resource of an organisation?,Analysis,Analyze
List the fractions you know and can show….,Knowledge,Remember
How can you differentiate between...?,Analysis,Analyze
Create several different strategies to solve a mathematical problem. ,Synthesis,Create
How can you describe _____________?,Comprehension,Understand
"Rewrite the story briefly, but change someone or something in it. (For example, substitute a dog for a wolf in The Three Little Pigs).",Synthesis,Create
Explain how the heart is like a pump.,Comprehension,Understand
Write 5 new titles for the story that would give a good idea of what it was about,Synthesis,Create
List two local variables in the main function,Knowledge,Remember
Discriminate the pros and cons of ____.,Analysis,Analyze
List the attributes of the following shape.,Knowledge,Remember
Judge the validity of arguments for and against astrology,Evaluation,Evaluate
List two reference parameters in the setHour function,Knowledge,Remember
Draw a diagram to show the memory configuration after the following statements .... ,Analysis,Analyze
How can you explain what is meant ...?,Comprehension,Understand
Outline how class ArrayList could be implemented using an array,Evaluation,Evaluate
Develop a set of criteria for distinguishing between a good and bad example of this.,Analysis,Analyze
Rate the following recommendations and set the priority _____.,Evaluation,Evaluate
Can you assess the value or importance of . . . ?,Evaluation,Evaluate
Identify three mistakes from the passage and correct them.,Comprehension,Understand
Trace the value of alpha after the following code executes. int alpha[5];int j;alpha[0] = 5;for (j = 1; j < 5; j++){if(j % 2 == 0)alpha[j] = alpha[j – 1] + 2;else alpha[j] = alpha[j – 1] + 3;},Analysis,Analyze
Sketch a diagram which shows these fractions or take photographs of the fractions. ,Application,Apply
Write the definition of displaySize() method for each class,Application,Apply
Write a textbook about this topic for others.,Application,Apply
Define Method in JAVA.,Knowledge,Remember
What data was used to evaluate ____________?,Evaluation,Evaluate
Make a list of the main events of the story.,Knowledge,Remember
Explain what is happening...,Comprehension,Understand
Explain in one sentence what the method incFromN does,Comprehension,Understand
Can you defend your position about ... ?,Evaluation,Evaluate
Name three 19th-century women English authors.,Knowledge,Remember
"Demonstrate and illustrate measures of central tendency and dispersion, write a journal entry. ",Application,Apply
Write what you might have done.,Application,Apply
Analyze a distinction. State the point of view of . . .,Analysis,Analyze
Predict what would happen if ...,Application,Apply
Analyze the following questionnaire. ,Analysis,Analyze
How can you distinguish the different parts of_____?,Analysis,Analyze
"Prepare a case to present, and evaluate your view about ...",Evaluation,Evaluate
Name all the characters in the story.,Knowledge,Remember
Can you propose a model that would change . . . ?,Synthesis,Create
Define morphology,Knowledge,Remember
"Trace the contents of matrix from the following statements int matrix[3][2];int j, k;for (j = 0; j < 3; j++)for (k =h 0; k < 2; k++)matrik[j][k] = j + k;",Analysis,Analyze
Justify the concept of inheritance and give the sample of code to illustrate your answer.,Evaluation,Evaluate
Can you develop method to handle the following case . . . ? ,Synthesis,Create
Label the parts of the diagram,Knowledge,Remember
Write another ending to the story that is different from the author’s ending.,Synthesis,Create
Propose  and justify ONE  (1)  international market-entry strategy that you may consider to market your products internationally.,Evaluation,Evaluate
Give FIVE (5) differences between the bitmapped image  and vector graphics.,Comprehension,Understand
Illustrate how the Variable Length Encoding algorithm can be used to encode symbols 'SOOOSAY T '.,Application,Apply
Explain THREE (3) differences of Red Green Blue (RGB) and Cyan Magenta Yellow (CMY).,Comprehension,Understand
Give FIVE (5) guidelines when creating storyboarding.,Knowledge,Remember
Discuss any THREE (3) advantages why digital video is preferred for video editing and post production.,Comprehension,Understand
Give TWO (2) differences between  Unicode and IS0-8859 text encoding formats.,Comprehension,Understand
Define pixel.,Knowledge,Remember
Name  the  TWO  (2) categories and explain the differences between the two categories.,Comprehension,Understand
"Explain the WMA, AVI, and QuickTime video format.",Comprehension,Understand
Recommend to the management whether to use MP3 or RealAudio file format images and state THREE (3) reasons for your recommendations. ,Synthesis,Create
Determine the number of possible colors and calculate how much memory is required to represent the following bitmap images.,Application,Apply
Justify which digital video file format you would use for your movie.,Evaluation,Evaluate
Bitmap images imported into a Macromedia Flash presentation have limitations on how these images can be animated. Elaborate on these limitations that may affect the output of the animation created by Albert.,Comprehension,Understand
Suggest an alternative to Albert on how the above limitations may be overcome.,Synthesis,Create
Explain about interactive multimedia.,Comprehension,Understand
Multimedia is shifting from being localized (contained on a CD-ROM) to being distributed (available on the World Wide Web). Give FIVE (5) implications on this.,Knowledge,Remember
Estimate the number  of bytes required  for the storage of a full 5 minutes performance at CD quality audio.,Application,Apply
Briefly explain about Nyquist Theorem.,Comprehension,Understand
"Using Nyquist Theorem,  calculate  the  maximum  sampling  rate to avoid aliasing.",Application,Apply
Suggest THREE (3) steps that Annie should do in multimedia authoring.,Synthesis,Create
Give FOUR (4) advantages of multimedia application in education.,Knowledge,Remember
"Describe each of the media types: captured, synthesized, discrete and continuous. Classify all the multimedia elements into the media types that described above.",Comprehension,Understand
Explain on multimedia delivering on World Wide Web.,Comprehension,Understand
State and discuss on the general features of authoring tool.,Comprehension,Understand
Justify why Benny used MP3 instead of other audio format.,Evaluation,Evaluate
"Using Nyquist Theorem, calculate the maximum sampling frequency.",Application,Apply
Briefly explain TWO (2) common techniques for data compression. Illustrate your answer with an example of each type of compression.,Comprehension,Understand
Briefly explain any TWO (2) reasons why multimedia is important for education.,Comprehension,Understand
List and explain the TWO (2) processes that can be done with the areas of the image that should be displayed in some color which is not available in the reduced palette.,Comprehension,Understand
Derive the data rate that is generated by the digitization procedure in each case assuming that the Nyquist theorem is applied with 12 bits per sample for the speech signal and 16 bits per sample for the music signal. Give your answers in kilo -Byte-per-second (kB/s).      ,Application,Apply
Determine  the  memory  required  to  store  a  2  minutes  passage  of stereophonic music. ,Application,Apply
Comment on the most appropriate methods in which to deliver such a presentation and also address the merits of the methods you suggest in your solution.,Evaluation,Evaluate
Show how you would use Huffman coding to encode the following set of tokens.,Application,Apply
Calculate the compression ratio for the compressed file.,Application,Apply
Explain why a 30-second video clip (containing 25 frames per second) will occupy less disk space than 750 JPEG images of the same size.,Comprehension,Understand
Describe how SPATIAL Compression and TEMPORAL Compression are used in video compression.,Application,Apply
Describe what multimedia is.,Knowledge,Remember
Define FOUR (4) common authoring metaphors and its advantages and disadvantages.,Knowledge,Remember
Give FIVE (5) differences between the bitmapped image and vector graphics.,Comprehension,Understand
Give FIVE (5) differences between GIF and SWF.,Comprehension,Understand
Estimate the time it would take to transmit the performance  over a network with 64 kbps.,Application,Apply
Discuss  how  inverse  kinematics  helps  in  simplifying  the  task  of  animating jointed  structures.,Comprehension,Understand
Elaborate ONE (1) scenario where text would be more effective than audio and ONE (1) scenario where audio would be more effective than text in the passing out of data. Explain your answer.,Comprehension,Understand
GIF and SWF file format can be used to create animations. Compare and state the major advantage and limitation of using GIF rather than SWF for creating animations in webpages.,Analysis,Analyze
