QUESTION,BT LEVEL
Discuss THREE (3) situations that necessitate the use of pile foundation. ,COMPREHENSION
Differentiate between Putlog and Independent Scaffold. ,ANALYSIS
Explain FIVE (5) characteristics of Industrialised Building System (IBS) in construction. ,COMPREHENSION
Name and sketch the proposed retaining wall in plan view to show the main elements of the wall. ,APPLICATION
List and explain the FOUR (4) considerations when selecting a basement wall. ,COMPREHENSION
"In the renovation of a new car showroom, the client wishes to attract the attention of pedestrians who passes by their building. Propose the type of external envelop for this building and explain the reasons. Sketch the proposed external envelop. ",SYNTHESIS
"Write a formula to show the steady state assumption. If all other conditions remain identical, explain how an increase in k-1 would affect the Michaelis constant.",APPLICATION
Describe “mechanism-based inhibitors”. ,COMPREHENSION
State the forces stabilizing functional structure of enzyme which is most susceptible to drastic pH changes. Explain your answer using an example. ,COMPREHENSION
Describe the principles of a coupled enzyme assay. ,COMPREHENSION
Discuss the advantages and disadvantages of using laccase-based de colorization treatment.,COMPREHENSION
Suggest a technique that can overcome the problem of non-reusability for industrial enzyme applications. ,SYNTHESIS
"Enzyme therapy is applied clinically to treat Gaucher disease. Describe the cause of the disease, the therapeutic enzyme and its function. ",COMPREHENSION
State the advantage of applying each step in the purification scheme. ,COMPREHENSION
Draw a table indicating purification fold and yield at each step. ,COMPREHENSION
Draw a diagram to illustrate the Edman degradation reaction in protein sequencing. Describe some potential complications during Edman degradation protein sequencing. ,COMPREHENSION
Explain the functional advantages provided by enzymes with a quaternary structure. ,COMPREHENSION
Discuss the regulation of ATCase which is an allosteric enzyme. ,COMPREHENSION
Draw and label the typical heat denaturation curves for mesophilic and thermophilic enzymes. ,COMPREHENSION
Describe the limitations of using ribozyme as a catalyst. ,COMPREHENSION
Explain the main difference between uncompetitive and noncompetitive inhibitors. ,COMPREHENSION
Name the enzyme commonly used to detect liver damage or muscle damage in clinical diagnosis.,KNOWLEDGE
"Based on the aspartate protease mechanism, explain the concept of using ""Crixivan"" to treat HIV patients. ",COMPREHENSION
Elaborate on the importance of 'stability' for industrial enzymes. ,COMPREHENSION
"The tyrosinase-containing solution was dissolved in 50 mM potassium phosphate buffer containing 0.01 mM NaCl, pH 6.5, before applying to a DEAE Sephadex A50 column. Suggest and explain how the mobile phase should be modified to elute the bound tyrosinase. ",SYNTHESIS
"Oxygen is effectively transported by hemoglobin, regulated by some allosteric effectors in human blood. Name these allosteric effectors and discuss how their presence increases effective delivery of oxygen to tissues.",COMPREHENSION
Explain the importance of using initial velocity to study enzymatic catalysis. ,COMPREHENSION
Give the enzyme group number and name for acetylcholine esterase. Describe the non-covalent interactions used by acetylcholine esterase for substrate binding.,COMPREHENSION
Propose and explain a suitable enzyme-substrate interaction model for enzyme X.,SYNTHESIS
Describe how accurate mass spectrometry could be applied to determine if a small protein contains a pair of disulfide-bonded cysteine residue or two reduced cysteine residues. Explain how you can confirm your finding. ,ANALYSIS
Draw a pH denaturation profile for an enzyme. Explain what happens to the enzyme during pH denaturation. ,COMPREHENSION
Name two super secondary structures found within enzymes which involved formation of a-helices. Describe how the a-helices could be maintained in an enzyme. ,COMPREHENSION
Draw a diagram to illustrate the Edman degradation reaction in protein sequencing. ,COMPREHENSION
Describe the features of lactate dehydrogenase (LDH) as an isozyme. Discuss the diagnostic importance of LDH.,COMPREHENSION
Chymotrypsin belongs to serine protease family. Describe the catalytic mechanism of chymotrypsin emphasizing the role of the catalytic triad and substrate binding site in catalysis. ,COMPREHENSION
Describe the components involved in the formation of a folded enzyme. ,COMPREHENSION
Provide the equations for the Eadie-Hofstee and Hanes-Woolf plot. Explain how these equations could be derived from the Michaelis-Menten equation. ,APPLICATION
Explain the main disadvantage of Lineweaver-Burk plot. Suggest an alternative method to Lineweaver-Burk plot. ,SYNTHESIS
Draw and label an Eisenthal-Cornish-Bowden direct plot. Explain how kinetic parameters could be determined from this plot. ,APPLICATION
Describe how the hexokinase enzymatic activity could be determined using the coupled assay method. ,APPLICATION
Give ONE example of aspartic protease. Describe the mechanism of aspartic protease in relation to how pH affects its activity. ,COMPREHENSION
A cascade of zymogen activation occurs both with digestive proteases and blood clotting proteases. List THREE advantages of this activation.,KNOWLEDGE
Define the transition state and activation energy in relation to catalytic power of an enzyme. ,COMPREHENSION
"The substrates of allosteric enzymes exhibit positive cooperativity. Explain positive cooperativity in terms of subunits, conformation, and activity of the active site. ",COMPREHENSION
Describe the industrial application of enzymes in beer production. ,COMPREHENSION
Immobilization enables industrial enzymes to be used repeatedly. List THREE advantages of immobilized enzyme and give an example of large scale application of immobilized enzyme in industry.,COMPREHENSION
Explain how changes in amino acid ionization states could affect the catalytic activity of an enzyme. ,COMPREHENSION
Draw a diagram to illustrate the Edman degradation reaction in protein sequencing. ,COMPREHENSION
Describe the interactions involved in stabilization of enzyme's quaternary structure. Explain which of these interactions is the least likely to be affected by denaturation at a liquid-liquid interface. ,COMPREHENSION
"You attempt to purify a single protein X from a complex mixture of proteins. Protein X has a large number of aspartic and glutamic acid residues and no lysine, arginine or histidine residues. Propose an adsorption column chromatography technique which could retain protein X but elute other contaminants at pH 7. State your assumption(s). ",SYNTHESIS
"You attempt to purify a single protein X from a complex mixture of proteins. Protein X has a large number of aspartic and glutamic acid residues and no lysine, arginine or histidine residues. Suggest and explain a method to elute protein X from the column. ",SYNTHESIS
Describe the amino acid composition that could destabilize an enzyme's helical stability. ,COMPREHENSION
Describe the enzyme characteristics that are desirable in high temperature industrial applications. ,COMPREHENSION
Enzymes are applied in the medical field based on their specific functions. List the THREE main areas of clinical enzymology and provide ONE example how enzymes are used in each area. ,COMPREHENSION
State the conditions necessary for the formation of enzyme's quaternary structure. Explain how quaternary structure could contribute to enzyme stability. ,COMPREHENSION
Draw and label a titration curve for glutamic acid. Calculate the isoelectric point. ,APPLICATION
Justify whether the enzyme after step 'Size-exclusion chromatography' is pure. Suggest a method to estimate the purity of the enzyme preparation. ,EVALUATION
State TWO types of enzyme specificities that do not agree with lock and key model. Explain your answer.,COMPREHENSION
Draw and label an activity temperature profile for mesophilic and thermophilic enzymes. Provide explanation to this phenomenon.,COMPREHENSION
Explain the importance of using initial rate to determine enzymatic activity.,COMPREHENSION
Explain the TWO main factors that could affect enzyme catalytic efficiency.,COMPREHENSION
Explain how the affinity of hemoglobin for oxygen is regulated. ,COMPREHENSION
Explain how competitive and uncompetitive inhibitors will affect enzymatic reactions. ,COMPREHENSION
Discuss various practices to achieve maximum yield and production of crude palm oil. ,COMPREHENSION
"Discuss the importance of shikimate pathway, a primary metabolism pathway related to plant secondary metabolism. ",COMPREHENSION
Discuss how curing can maintain quality and minimize decay of potato tubers in the postharvest stage. ,COMPREHENSION
Describe the differences in the sugar compositions between unfermented and fermented cocoa beans. ,COMPREHENSION
Discuss factors which could contribute to changes in the sugar compositions of cocoa beans during fermentation. ,COMPREHENSION
"Illustrate with a drawing the biochemical pathway for natural rubber biosynthesis, beginning with acetyl CoA. ",COMPREHENSION
Describe the main disadvantage of palm oil with an indigenous broad melting interval ranging from -20 to 50°C. Refined palm oil is further processed to improve its marketable value. Discuss this process in relation to the secondary products from refined palm oil. ,COMPREHENSION
Describe alkaloids chemically and how plants use this group of secondary metabolites to protect themselves from herbivores. ,COMPREHENSION
"Illustrate with a labeled drawing the pathway of sulfate assimilation in leaf mesophyll cells. In your answer, describe how sulfate is transported from the root to leaf cells, the energy requirements of sulfate assimilation, and the fate of unassimilated sulfate. ",COMPREHENSION
Explain the significance of the position of rubber-synthesizing cis prenyltransferases in the structure of a rubber particle. ,COMPREHENSION
Distinguish between the ripening behavior of climacteric and non-climacteric fruits in terms of their respiration rates and ethylene production.,ANALYSIS
The oil palm (Elaeis guineensis) is an erect monoecious plant. Describe how its inflorescences develop into fruit and relate this to the pest control practice that could affect the productivity of the oil palm. ,COMPREHENSION
The major constituent of palm oil is triglyceride. Describe TWO reactions of triglyceride which could affect the quality of vegetable oils.,COMPREHENSION
Identify the key enzymes and explain their roles in fatty acid biosynthesis that contribute to the unique fatty acid composition of palm mesocarp oil.,COMPREHENSION
"Discuss the benefits of palm oil, in terms of versatility, diet-health relationship and sustainability. ",COMPREHENSION
"As a defence strategy, most plant secondary metabolites exert adverse effects on herbivores. Discuss how plants avoid poisoning themselves with these metabolites. ",COMPREHENSION
State the TWO biological isoprene building blocks and the enzyme involved in synthesising the precursor. ,COMPREHENSION
"Differentiate between phenylpropanoids and alkaloids in terms of structure, functions and applications. ",ANALYSIS
"Illustrate with a labelled drawing the pathway of nitrate assimilation in leaf mesophyll cells. In your answer, discuss the origin of nitrate that is available to the mesophyll cells, the energy requirements of nitrate assimilation, the end products, and the fate of unassimilated nitrate. ",COMPREHENSION
Discuss the biological factors that cause the deterioration of cut flowers.,COMPREHENSION
Distinguish between the ripening behaviour of climacteric and non-climacteric fruits in terms of carbon dioxide release and ethylene synthesis. ,ANALYSIS
Name FIVE vital plant processes that herbicides target. ,KNOWLEDGE
Discuss the importance of knowing herbicide families and mode of action. ,COMPREHENSION
Give THREE examples of symptoms that resemble herbicide damage on plants. ,COMPREHENSION
State THREE traits that are associated with invasive plants.,KNOWLEDGE
Discuss TWO hypotheses for invasive plants to become successful outside of their native ranges. ,COMPREHENSION
Weeds reduce the quality of crops and livestock. Explain. ,COMPREHENSION
Write TWO reasons on the slow adoption of biological control in weed management. ,COMPREHENSION
Differentiate between contact and systemic herbicides. ,ANALYSIS
Briefly discuss the advantage of C3 and C4 pathways for weeds. ,COMPREHENSION
Give TWO examples of natural and artificial means of the seed dispersal of weeds respectively. ,COMPREHENSION
Discuss issues of defining “weeds”. ,COMPREHENSION
Define economic threshold and its use. ,COMPREHENSION
List THREE factors in determining economic thresholds for weeds. ,KNOWLEDGE
State the goal of integrated weed management and its essence.,KNOWLEDGE
State the objective of proactive resistance management and briefly describe THREE methods of this management. ,COMPREHENSION
Discuss THREE mechanisms of vegetative reproduction that make certain weeds successful in establishment. ,COMPREHENSION
Define allelopathy and list how allelopathic substance enters the environment. ,COMPREHENSION
"With the aid of a flow chart, briefly describe the steps involved in developing a successful animal breeding programme. ",COMPREHENSION
"Using a farm animal species of your choice, sketch a graph and describe the scenario that demonstrate a strong genotype by environmental interaction that could influence breeding objectives. ",APPLICATION
List FOUR conditions required in order for an animal population to remain at Hardy-Weinberg equilibrium.,KNOWLEDGE
Determine the possible number of unique zygotes that could be produced upon successful mating. ,APPLICATION
Justify whether the dam and sire are inbred or outbred. ,EVALUATION
Describe the differences between progeny and sib testings. ,COMPREHENSION
Briefly describe FOUR principles in selecting and purchasing breeding stock. ,COMPREHENSION
Give ONE common crossbreed for porker production in Malaysia and name the state in Peninsular Malaysia that has the highest production rate. ,COMPREHENSION
Suggest and describe an assisted reproductive technique that the farm should use for rapid and cost effective production. ,SYNTHESIS
Determine which Angus bull is the heaviest. Justify your answer.,EVALUATION
Determine which Angus bull would produce the heaviest offspring (on average). Justify your answer. ,EVALUATION
Suggest TWO possible poultry breeds that Kaseem are breeding for Malaysia broiler industry. ,SYNTHESIS
"In your opinion, which parental group selected will give a higher gain in Kaseem's breeding programme. Show the calculation and justify your answer. ",EVALUATION
State the number of autosome and sex-chromosome for a rooster and a hen.,KNOWLEDGE
Briefly describe TWO mating methods of commercial importance for the production of fertilised eggs from breeder birds. ,COMPREHENSION
“Domestication of animals does not influence human behavior and lifestyle.” State whether you agree or disagree with the statement. Justify your answer. ,EVALUATION
Briefly describe FOUR common characteristics that are possessed by a wild animal before they could be considered for domestication. ,COMPREHENSION
Differentiate between trait and phenotype. ,ANALYSIS
Give an example of trait and phenotype to describe a Belgian Blue. ,COMPREHENSION
"The Friesian cow, a dairy breed, is a product of selective breeding. Predict the problems that may occur during the selection of Friesian Cows. ",APPLICATION
Give TWO examples how breeding is similar to natural selection. ,COMPREHENSION
"State, define and list the advantage(s) and disadvantage(s) of the THREE animal selection methods for multiple traits. ",COMPREHENSION
Differentiate between crossbreeding and linebreeding. ,ANALYSIS
Briefly describe the advantages of marker assisted selection in farm animal breeding. ,COMPREHENSION
Explain the principle of ultrasonography in pregnancy diagnosis for farm animals. ,COMPREHENSION
State THREE advantages of pregnancy diagnosis in animal breeding. ,KNOWLEDGE
Cyrus claimed that placentomes could be observed using a transabdominal probe to scan both pregnant sow and doe on day-20 of gestation. Justify whether his claim is true or false. ,EVALUATION
Contrast B-mode and A-mode ultrasound systems. ,COMPREHENSION
Briefly describe how poultry sexing is commonly carried out in a hatchery. ,COMPREHENSION
Briefly describe the advantages of MOET in cattle breeding. ,COMPREHENSION
Describe the flow of MOET procedures in cattle breeding. ,COMPREHENSION
Two different soils were obtained during sampling and the distance between the two sites were only 100 meters apart. Discuss TWO soil forming factors which are most likely to explain the differences. ,COMPREHENSION
Justify why soil taxonomy is considered as a hierarchical classification system. ,EVALUATION
State the SIX categories in soil taxonomy. ,KNOWLEDGE
"With the aid of diagrams, describe how the soil structure influences the rate of water leaching.",COMPREHENSION
Define soil pH. ,KNOWLEDGE
"Distinguish among acidic, saline and sodic soils. ",ANALYSIS
Differentiate between humic and non-humic substances. ,ANALYSIS
Soil algae and protozoa are usually restricted at the uppermost soil layers and smaller than their aquatic counterparts. Justify. ,EVALUATION
Illustrate SIX processes that occur in the hydrological cycle. ,COMPREHENSION
"With suitable examples, briefly discuss the importance of soil aeration.",COMPREHENSION
Describe THREE factors that affect soil aeration. ,COMPREHENSION
Define luxury consumption of plant nutrients. ,KNOWLEDGE
Predict the effects of excess application of nitrogen fertilizer into the soil. ,COMPREHENSION
Briefly describe how riparian forests help in  reducing nitrate contamination in rivers reducing nitrate and streams. ,COMPREHENSION
Discuss why the fertility program for potted plants is different from field crops. ,COMPREHENSION
"Propose a fertilizer placement method of nitrogen, phosphorus and potassium for a successful fertilization of a large mango tree. Justify your answer. ",SYNTHESIS
List THREE factors that influence the type of irrigation used in agriculture. ,KNOWLEDGE
Evaluate the benefits and drawbacks of artificial drainage. ,EVALUATION
"By assuming other factors (pH, water content and etc.) are being equal in clay loam and sandy loam, state which soil would be expected to have higher organic matter content. Justify your answer. ",EVALUATION
"Describe how the soil colloidal complex tends to serve as a ""reservoir"" for plant nutrients. ",COMPREHENSION
Predict the effect on bulk density when a large quantity of organic matter is added into the soil. Justify your answer. ,EVALUATION
Fertilizer that is extremely high in phosphorus content is essential for flowering. Justify. ,EVALUATION
Discuss TWO adverse consequences of using wetlands as recipients of irrigation wastewater. ,COMPREHENSION
List and briefly describe the FOUR soil forming processes. ,COMPREHENSION
Define cation exchange capacity (CEC) and discuss how CEC influences the status of nutrients in soil. ,COMPREHENSION
Briefly explain how tillage will influence the density of soil. ,COMPREHENSION
Explain the role of mesofauna in the decay of fresh organic matter.,COMPREHENSION
Describe how the increase of soil organic matter level may immobilize some nutrients in soil. ,COMPREHENSION
Write a short note about mulch and how mulching could help in controlling soil temperature. ,COMPREHENSION
"Briefly discuss how the use of manure, organic by-products and commercial fertilizers have changed over time. ",COMPREHENSION
Describe how soil surface roughness affects both water and wind erosion. Suggest ways to increase roughness to reduce erosion. ,SYNTHESIS
Define soil bioremediation. ,KNOWLEDGE
Identify the advantages and disadvantages of in situ and ex situ means of remediating polluted soils. ,COMPREHENSION
Define soil horizon and relate it with soil profile. ,COMPREHENSION
Briefly explain which characteristics of alluvial soils make them ideal for agriculture. ,COMPREHENSION
"Discuss why physical weathering is more prevalent in dry, cool regions while chemical weathering is more prevalent in wet, hot regions. ",COMPREHENSION
Distinguish between products from physical and chemical weathering. ,ANALYSIS
Briefly explain how clay particles and soil organisms influence soil structure. ,COMPREHENSION
Discuss the importance of soil structure in vegetable farms. ,COMPREHENSION
Describe how pore size can affect water retention in soil. ,COMPREHENSION
Describe soil colloids and their importance. ,COMPREHENSION
"In soil pH, define buffering and explain why it is important in soils. ",COMPREHENSION
Classify soil organisms according to their ecology and state TWO examples for each group. ,COMPREHENSION
Soil organic matter content will differ depending on environmental conditions. Justify with TWO examples. ,EVALUATION
Explain why mycorrhizal fungi are important for phosphorus availability in soil. ,COMPREHENSION
Describe how soils are involved in the greenhouse effects. ,COMPREHENSION
Describe whether the soil is contaminated or polluted. ,COMPREHENSION
"State TWO examples for inorganic and organic contaminants, respectively. ",KNOWLEDGE
Briefly discuss THREE factors with ONE example each that should be considered when determining fertilizer placement method. ,COMPREHENSION
State the advantages of no tillage. ,KNOWLEDGE
Explain why higher rates of nitrogen might be required for no tillage compared to conventional tillage. ,COMPREHENSION
Distinguish between rill and gully erosion. ,ANALYSIS
Differentiate between soil fertility and soil productivity. ,ANALYSIS
Briefly explain the drawbacks of using deficiency symptoms to determine fertilizer rates. ,COMPREHENSION
Describe the advantages and disadvantages of foliar application in fruit crops. ,COMPREHENSION
Describe conservation tillage and explain why it often requires a change in nutrient management. ,COMPREHENSION
Comment on the importance of comparative genomics research. ,EVALUATION
Briefly describe the stages involved in sequence assembly for the whole genome shotgun methodology. ,COMPREHENSION
Discuss the significance of human genome project. ,COMPREHENSION
"Name the amino acid residues with the single letter code ""EQRNHL"". ",KNOWLEDGE
Comment on the introduction of seven “_” in the alignment. ,EVALUATION
Briefly explain the mechanism of RNA interference. ,COMPREHENSION
"In a table form, state the advantages and disadvantages of X-ray crystallography and nuclear magnetic resonance in elucidating the three dimensional structure of proteins. ",COMPREHENSION
Eukaryotic genome is mostly repetitive DNA and non-coding sequences. Elaborate the statement. ,COMPREHENSION
"In a table form, differentiate between RefSeq and GenBank DNA sequences. ",ANALYSIS
Describe briefly the experimental flow of fluorescent in situ hybridization (FISH). List THREE of its major applications. ,COMPREHENSION
GenBank offers a few options for nucleotide sequence submissions. Name TWO available options and when are they used. ,COMPREHENSION
"Contrast the following basic BLAST programs: PSI-BLAST, PHI-BLAST and tBLASTX.",COMPREHENSION
List the advantages and limitations of protein crystal structure determination using X-Ray crystallography. ,COMPREHENSION
Name the amino acids for the following single letter codes: DMVREL. ,KNOWLEDGE
"Comparing to the reference sequence, identify the functional elements to represent S2 and S3, respectively. ",COMPREHENSION
Indicate whether S2 or S3 is useful for genetic linkage analysis. Justify your answer. ,EVALUATION
Discuss the significance of genome studies in molecular medicine.,COMPREHENSION
Primary structure of a protein plays a significant role in determining the native structure or the protein fold. Comment on the statement. ,EVALUATION
State the importance of data generated from a given hydrophobicity plot. Describe the relevant information that can be deduced from the plot generated. ,COMPREHENSION
Briefly explain if restriction mapping is useful in determining the presence of minisatellite. ,COMPREHENSION
Describe the methodology of determining the transcriptional start site using RACE-PCR. ,COMPREHENSION
Briefly describe the hierarchical classification of proteins using CATH classification. ,COMPREHENSION
"""Microsatellite tandem repeats are abundant in human promoters and are associated with regulatory activity (Sawaya et al., 2013).” Discuss the statement and support your views with examples. ",EVALUATION
"John Watson passed away and left behind a legal child, Mary Watson, as well as two girlfriends, Susan and Petty, who were in their 8 week of gestation. Susan claimed that she bore an illegitimate child of John Watson. Propose and design the most suitable paternity experiment to prove Susan's claim. You may outline your experiment using schematic diagram(s). ",SYNTHESIS
Name the following conserved amino acids for their corresponding single letter codes: SQYKRECP. ,KNOWLEDGE
State what does the symbol “+” represents. ,KNOWLEDGE
Melting temperature (Tm) is an important criteria to consider when designing primers for PCR amplification. Comment. ,EVALUATION
CATH and SCOP are databases that hierarchically classify protein domains according to their structures. Describe the CATH protein classification system. ,COMPREHENSION
Briefly describe the BLOSUM scoring matrix. ,COMPREHENSION
"Construct a DNA based cladogram using neighbour-joining approach, and suggest the relationship of S, M, and D species. ",SYNTHESIS
Discuss the significance of hydrophobicity plot in transmembrane protein research. ,COMPREHENSION
List THREE applications of degenerate PCR amplification.,KNOWLEDGE
"Microbiota-based models may be an alternative method to facilitate the use of data on the gut microbiota in certain diseases. For example, NextSeq 550 and NextSeq 550DX platforms have been used to detect gut microbiota in non communicable diseases. Compare and contrast both platforms with regards to their regulatory status, key applications and array scanning.",ANALYSIS
Highlight the importance of bioinformatics analysis in genomic studies. ,COMPREHENSION
"Identify the genetic elements in the DNA sequences of Homo sapiens, Homo luzonensis and Homo erectus. Justify your answer. ",EVALUATION
State the main missions of National Center for Biotechnology Information (NCBI). ,KNOWLEDGE
Proline and glycine are prevalent in beta-turns of protein structures. Comment on the statement. ,EVALUATION
"Bernard has successfully determined the sequence of Protein X which consists of 110 amino acid residues. He is interested to predict the protein struc using the available homology modelling software. Based on your knowledge of the mechanism of protein folding, comment on the reliability and accuracy of the prediction. ",EVALUATION
Write an essay on the importance of comparative genomics. ,SYNTHESIS
Name the following conserved amino acids with their corresponding single letter codes: WMEADK.,KNOWLEDGE
"Comment on the values that were generated for “Identities” and “Positives"". ",EVALUATION
"Define the designation “Frame = -3"".",KNOWLEDGE
State the significance of “Score” in the BlastX alignment. ,COMPREHENSION
"In a table, list EIGHT differences between GenBank and RefSeq DNA sequences. ",COMPREHENSION
Briefly describe the disadvantages of characterising three dimensional protein structures using X-ray diffraction. ,COMPREHENSION
Define “ecosystem services” and describe how they are benefiting our society. ,COMPREHENSION
State the problems that could arise from environmental overload of fixed nitrogen due to generous usage of nitrogen fertilizer and suggest a possible solution for this situation. ,SYNTHESIS
"Using an appropriate example, describe how competitive ELISA works. ",COMPREHENSION
List and explain THREE factors that are affecting microbial biodegradation rates of petroleum hydrocarbon. ,COMPREHENSION
Name the THREE types of land application of wastewater. ,KNOWLEDGE
Describe the circumstances when tertiary treatment of wastewater is necessary. ,COMPREHENSION
"Explain why bogs are considered to be a ""carbon sink"". ",COMPREHENSION
"You are on a mission to study the microbial diversity in a hyperarid desert. Design experimental steps in collecting, storing, and analyzing the samples. Justify the choices in each step and predict the types of microbes that could be found. ",EVALUATION
Describe the major functions or roles of soil microbes that beneficially impact human health and welfare. ,COMPREHENSION
Compare and contrast microbial and chemical risk assessment. ,ANALYSIS
"Explain the microbe-related coupling of carbon, nitrogen, and oxygen in a lake that is experiencing a sudden bloom of cyanobacteria due to anthropogenic fertilizer inputs. ",COMPREHENSION
Define “biogeochemical cycling” and discuss its importance to the ecosystem and survival of living organisms. ,COMPREHENSION
State the purposes of risk assessment. ,KNOWLEDGE
Explain why hazard identification in the case of pathogens is complicated. ,COMPREHENSION
Describe the formation of an aquatic dead zone. ,COMPREHENSION
A solid cube with dimensions of 10.0 nm was dispersed into water to become colloidal particles with dimensions of 1.0 nm. Calculate the changes of surface area to volume (surface / volume). ,APPLICATION
List and explain TWO simple techniques used to prepare colloids by mean of dispersion. Use simple diagrams to clarify the explanation.,COMPREHENSION
State TWO phenomena that affect the stabilization of colloidal nanoparticles in aqueous medium. ,KNOWLEDGE
Give the appropriate formula to calculate the velocity of the sedimentation. ,COMPREHENSION
Differentiate between electroosmosis and electrophoretic mobility of solutes in capillary electroosmosis. ,ANALYSIS
The oscillating jet method is commonly used to study the surface/interfacial tensions. Give another THREE methods that are used to measure surface/interfacial tension. ,COMPREHENSION
Briefly explain the main feature of the structures of dilute foams and concentrated foams. ,COMPREHENSION
Give TWO methods to measure the surface coverage. ,COMPREHENSION
Briefly explain why fatty acids such as stearic acid can be used in Langmuir Blodgett (LB) film deposition and how the monolayer is formed.,COMPREHENSION
Give the appropriate formula to calculate the kinetic energy of sodium. ,COMPREHENSION
Sketch the Type I isotherm and provide a brief description of its nature and the processes that gives rise to the isotherm. ,APPLICATION
Briefly explain the Auger process. ,COMPREHENSION
Give TWO disadvantages of Transmission Electron Microscopy (TEM). ,COMPREHENSION
Give TWO functions of egg yolks in mayonnaise production. ,COMPREHENSION
Explain in detail the chemisorptions of ammonia. Focus only on molecular adsorption of ammonia on a solid surface at low temperature.,COMPREHENSION
Explain briefly how the aggregation processes could improve the water quality in a water treatment plant. ,COMPREHENSION
Give THREE disadvantages of X-Ray Photoelectron Spectroscopy (XPS). ,COMPREHENSION
"Calculate the surface tension of a wetting liquid, C (1.23 gml-l ) which rises 1.50 m in a vertical capillary tube with the internal radius of 0.15 mm. ",APPLICATION
A blue solid cube with dimensions of 10.0 x 10-9 m was dispersed into water to become colloidal particles with dimensions of 1.0 x 10-9 m. Calculate the changes of surface area to volume (surface / volume). ,APPLICATION
Explain and differentiate between TWO types of aggregations when colloidal particles are unstable.,ANALYSIS
List another TWO isotherms besides Langmiur isoterm. ,KNOWLEDGE
Briefly explain why does surface tension remain constant once critical micelle concentration (CMC) is reached.,COMPREHENSION
Name the TWO ways of how molecules bonded to surface. Provide a brief description on the modes of adsorption. ,COMPREHENSION
Briefly explain the differences between and Langmuir-Blodgett (LB) monolayer and self-assembled monolayer (SAM). ,COMPREHENSION
List THREE types of Atomic Force Mircroscopes (AFM).,KNOWLEDGE
Differentiate between Gibbs adsorption equation and dynamic surface tension in the study of adsorption at interfaces. ,ANALYSIS
Sketch the Type Il isotherm and provide a brief description of its nature and the processes that gives rise to the isotherm. ,APPLICATION
"Explain in detail the chemisorptions of hydrocarbon (eg. alkene, alkyne etc). Focus only on molecular adsorption of hydrocarbon on solid surface at low temperature.",COMPREHENSION
Briefly explain how the aggregation processes could improve the water quality in a water treatment plant.,COMPREHENSION
Briefly explain why formation of solid forms in final product such as glasses and bottles in glass industry is a disadvantage. ,COMPREHENSION
Give FOUR information that can be obtained from Scanning Electron Miscroscope (SEM).,COMPREHENSION
Explain and differentiate between TWO types of aggregations when colloidal particles are unstable. ,ANALYSIS
Describe the electrokinetic phenomenon. ,COMPREHENSION
Briefly explain why coating a nanoparticle or surface with a polyelectrolyte (polymer with ionizable groups) is favourable. ,COMPREHENSION
State TWO phenomena that affect the stabilization of colloidal nanoparticles in aqueous medium. ,KNOWLEDGE
Briefly explain why surface tension remains constant once critical micelle concentration (CMC) is reached. ,COMPREHENSION
Briefly explain and draw the structure of dilute foams and concentrated foams. ,COMPREHENSION
Sketch the Type III isotherm and provide a brief description of its nature and the processes that give rise to the isotherm. ,APPLICATION
Briefly explain the differences between a Langmuir-Blodgett (LB) monolayer and a self-assembled monolayer (SAM). ,COMPREHENSION
Briefly explain the Auger process. ,COMPREHENSION
Give TWO advantages of X-Ray Photoelectron Spectroscopy (XPS). ,COMPREHENSION
List the information that can be obtained from X-Ray Photoelectron Spectroscopy (XPS). ,KNOWLEDGE
Briefly explain how aggregation processes could improve the water quality in a water treatment plant. ,COMPREHENSION
Draw the hexapeptide Gly-Phe-Asp-Leu-Ala-Glu. Identify the formation of hydrogen bonding in an a-helix form of this hexapeptide.,COMPREHENSION
"Describe the common structural features of phosphatidylserine, phosphatidylethanolamine, phosphatidylcholine and phosphatidylinositol. State their general function(s). ",COMPREHENSION
Explain the processing of eukaryotic mRNA transcripts prior to translation. Indicate the chemical bases for each step. ,COMPREHENSION
Justify whether tRNA or mRNA would be more extensively hydrogen bonded. ,EVALUATION
"List the five groupings of amino acids based on the R groups, Give one example for each group. ",COMPREHENSION
Name and briefly describe three types of column chromatography used in protein purification.,COMPREHENSION
Define the chemical interaction indicated by the arrows. Identify the binding region of an antigen on the antibody structure.,COMPREHENSION
Name the four different types of interactions involved in building the tertiary structure of proteins and give one denaturing agent for each.,COMPREHENSION
Name the two classes of monosaccharide. Draw and name the simplest structure of molecule in each class. ,COMPREHENSION
Write short notes on the structure and functions of polysaccharides by giving relevant example. ,COMPREHENSION
"List the three types of RNA involved in the transcription and translation, and briefly explain their functions. ",COMPREHENSION
Briefly describe the formation of disulfide bond. Suggest ONE role of disulfide bond. ,SYNTHESIS
Name FOUR enzymes in DNA replication and state their functions. ,COMPREHENSION
Compare and contrast continuous and discontinuous replications. ,ANALYSIS
Write short notes on the structure of RNA. ,COMPREHENSION
